Entity,Score
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::9,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::8,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::6,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::5,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::4,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::16,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::13,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::12,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::11,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_32\code\wrong\wrong_shortest_path_lengths.py::10,1.1
